timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/25 06:39:32.641, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.34 W
2026/09/25 06:39:32.845, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.34 W
2026/09/25 06:39:33.045, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.39 W
2026/09/25 06:39:33.246, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.39 W
2026/09/25 06:39:33.446, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.39 W
2026/09/25 06:39:33.646, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.39 W
2026/09/25 06:39:33.847, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.39 W
2026/09/25 06:39:34.047, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:34.247, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:34.448, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:34.648, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:34.848, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:35.048, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:35.249, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:35.449, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:35.649, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:35.850, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.44 W
2026/09/25 06:39:36.050, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:36.250, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:36.451, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:36.651, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:36.851, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.43 W
2026/09/25 06:39:37.052, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.45 W
2026/09/25 06:39:37.252, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.45 W
